point_index,x,y,z,homo_effect,homo_effect_normalized,homo_baseline
0,0.969663,1.451681,-0.346153,-0.8428702593506223,-0.005242248604161115,-13.547519040705502
1,0.004572,-0.011758,1.637124,-0.8984345113486913,-0.28745054198800757,-13.547519040705502
2,-0.393951,0.847387,1.315983,-0.9903244152424406,-0.7541551591573677,-13.547519040705502
3,0.640404,0.688781,1.311271,-0.9685082352413996,-0.643351779198927,-13.547519040705502
4,-0.932374,-0.153153,1.307816,-0.8795693602607599,-0.191635302845788,-13.547519040705502
5,0.873268,-0.383193,1.3008,-0.8629826657978903,-0.10739224064442132,-13.547519040705502
6,-0.10443,-0.949344,1.299648,-0.805709611119509,0.18349498336117498,-13.547519040705502
7,-1.211745,0.644123,0.770766,-0.9255618130297893,-0.425228865932645,-13.547519040705502
8,-0.949017,-0.996593,0.762599,-0.8282726113566277,0.06889853759676767,-13.547519040705502
9,0.686636,-1.204917,0.739354,-0.8067076402460494,0.17842603909538846,-13.547519040705502
10,1.366725,0.269244,0.725427,-0.9115608549070995,-0.3541186402846812,-13.547519040705502
11,0.207865,1.389844,0.696423,-1.0107646562799122,-0.8579702080801854,-13.547519040705502
12,-1.484857,-0.223267,0.353294,-0.9167047649138151,-0.380244323833265,-13.547519040705502
13,1.376946,-0.631352,0.242931,-0.9062446326410782,-0.3271177906557652,-13.547519040705502
14,-1.178358,0.905879,-0.201033,-0.941106114806832,-0.5041776633806005,-13.547519040705502
15,1.378791,0.516345,-0.260612,-0.9375117399576673,-0.4859219979934404,-13.547519040705502
16,-1.202813,-0.689087,-0.506363,-0.9125870816566852,-0.35933079898764564,-13.547519040705502
17,1.197729,-0.40924,-0.72447,-0.9406845812529028,-0.5020367137487664,-13.547519040705502
18,-1.071232,0.229388,-0.936505,-0.992549001928321,-0.765453733142104,-13.547519040705502
19,0.538548,0.078654,-1.302042,-1.038729033424321,-1.0,-13.547519040705502
20,-0.5544,1.657337,0.096312,-0.8685400987405103,-0.13561818826244143,-13.547519040705502
21,0.104869,1.941893,-0.614868,-0.7633377045257088,0.39869995809334013,-13.547519040705502
22,-0.785273,1.562437,-0.883583,-0.7875569322938016,0.27569160848493235,-13.547519040705502
23,0.863947,1.026228,-1.256283,-0.8434459618188868,-0.008166215097427765,-13.547519040705502
24,-0.059934,1.306616,-1.532956,-0.786219306489965,0.28248534873540976,-13.547519040705502
25,-0.187212,-1.560819,0.400971,-0.7511773024621036,0.46046208373755304,-13.547519040705502
26,0.659045,-1.705838,-0.148662,-0.6923772320995916,0.7591049505295198,-13.547519040705502
27,-0.551489,-1.573442,-1.1519,-0.6449471829207774,1.0,-13.547519040705502
28,0.7665,-1.376228,-1.152166,-0.6769291845072161,0.8375648773779587,-13.547519040705502
29,-0.742035,-0.610605,-1.400588,-0.8046898628347652,0.1886742382376494,-13.547519040705502
